상품번호,상품명(필수),상품분류(필수),상품코드,원산지,제조사,브랜드번호,과세/비과세,배송정책,적립금정책,유사검색어,가격대체문구,짧은설명,상품설명,메인이미지,리스트이미지,상세이미지,확대이미지,관리 메모,출시일,상품출력여부,품절상품,재고량연동,옵션출력방식,가격/재고 옵션명,가격/재고 옵션목록,추가상품제목,추가상품목록,상품추가정보 제목,상품추가정보1,상품추가정보2,상품추가정보3,상품추가정보4,상품추가정보5,상품추가정보6,관련상품방식,관련상품번호,상품필수정보,모델명,상품상태,공급가격,입력옵션제목,입력옵션목록,회원 적립금혜택 제외,회원 할인혜택 제외,제조일자,유효일자시작,유효일자끝,이벤트문구,모바일 전용 이미지 사용여부,모바일 메인 이미지,모바일 리스트 이미지,모바일 상세 이미지,모바일 확대 이미지,모바일 메인에 사용될 PC 이미지,모바일 리스트 사용될 PC 이미지,모바일 상세 사용될 PC 이미지,모바일 확대 사용될 PC 이미지,수입 및 제작 여부,판매방식 구분,주 이용 고객층,성별,상품속성,검색태그,네이버 카테고리,가격비교 페이지 ID,네이버쇼핑 노출 설정,상품별 배송비,페이스북 광고 사용 설정,페이스북 광고 제품 피드 이미지,도서공연비 소득공제 상품 여부,다음 쇼핑하우 노출 설정
goodsno,goodsnm,goodscate,goodscd,origin,maker,brandno,tax,delivery_type,use_emoney,keyword,strprice,shortdesc,longdesc,img_i,img_s,img_m,img_l,memo,launchdt,open,runout,usestock,opttype,optnm,opts,addoptnm,addopts,ex_title,ex1,ex2,ex3,ex4,ex5,ex6,relationis,relation,extra_info,model_name,goods_status,provider_price,inputable_addoptnm,inputable_addopts,exclude_member_reserve,exclude_member_discount,manufacture_date,effective_date_start,effective_date_end,naver_event,use_mobile_img,img_w,img_x,img_y,img_z,img_pc_w,img_pc_x,img_pc_y,img_pc_z,naver_import_flag,naver_product_flag,naver_age_group,naver_gender,naver_attribute,naver_search_tag,naver_category,naver_product_id,naver_shopping_yn,goods_delivery,use_facebook,img_facebook,culture_benefit,daum_shopping_yn
78592,조화 미니 별꽃 플라워 부쉬 39cm 48개 세트 5색 택1 조화꽃 예쁜조화 고급조화 꽃장식 연출,022|022060|022060029,,,mdeco.co.kr(L),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br> 5가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br>각 색상별 48개 세트로 배송 되는 제품 입니다.<br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 39cm 가량<br> 가로 폭 : 25cm 가량<br> <br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-125.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-124.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-126.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-127.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-128.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-129.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-130.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-131.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-132.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-133.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-134.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-135.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-136.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-137.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-407.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-408.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-409.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-410.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-411.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-035.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-036.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",174243934742i0.jpg,1742439347765s0.jpg,1742439347659m0.jpg,1742439347603l0.jpg,,0000-00-00,1,0,o,double,색상(Color),DK퍼플^^115200^144000^0^0^1480^0|화이트^^115200^144000^0^0^1480^0|오렌지^^115200^144000^0^0^1480^0|LT퍼플^^115200^144000^0^0^1480^0|핑크^^115200^144000^0^0^1480^0,^,,,,,,,,,1,,,OTC-1106,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
78342,미니 별꽃 흰꽃 부쉬 화이트 29cm 조화꽃 고급조화 연출 장식 예쁜꽃,022|022060|022060029,,,mdeoc.co.kr(z),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 세로 : 29cm 가량<br> 가로 : 16cm 가량<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-054.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-055.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-056.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-057.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-058.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-076.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-077.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-097.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-098.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""></center>",1741065388779i0.jpg,1741065388392s0.jpg,1741065388467m0.jpg,1741065388864l0.jpg,,0000-00-00,1,0,o,single,,^^3400^3900^0^0^26^0,^,,,,,,,,,1,,,(BD앞),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
71883,조화 유칼립투스 꽃 유카리 조화꽃 부쉬 36cm 30개 세트 4색 택1 인조 꽃장식 연출 소재,022|022060029|022060,,,mdeco.co.kr(JH),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br>색상별 각 30개 세트로 배송되는 제품 입니다.<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 36cm 가량<br> 가로폭 : 19cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-014.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-016.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-015.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-017.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-018.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-019.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-020.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-021.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-022.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-023.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-024.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-025.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-026.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-027-.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-325.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-326.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-327.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-328.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-418.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-23/20221101-419.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1667293109444i0.jpg,1667293109277s0.jpg,1667293109586m0.jpg,1667293109553l0.jpg,,0000-00-00,1,0,,double,색상(Color),퍼플^^96000^0^0^0^1480^0|베이지^^96000^0^0^0^1480^0|옐로우^^96000^0^0^0^1480^0|오렌지^^96000^0^0^0^1480^0,^,,,,,,,,,1,,,,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
71376,조화 냉이 꽃 나생이 조화꽃 부쉬 34cm 24개 세트 5색 택1 인조 꽃장식 연출 소재,022|022060029|022060,,,mdeco.co.kr(dr),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br> 각 색상별 24개 세트로 배송되는 제품입니다.&#160;<br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 34cm 가량<br> 가로폭 : 21cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-015.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-017.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-016.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-018.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-019.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-020.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-021.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-022.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-023.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-024.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-025.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-026.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-027.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-028.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-029.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-030.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-082.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-083.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-084.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-085.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-086.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-087.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-088.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-089.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-090.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-091.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-121.jpg""><br> <img src=""https://img.mdeco.kr/2022-10-04/20221005-122.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1664954702467i0.jpg,166495470260s0.jpg,166495470295m0.jpg,1664954702924l0.jpg,,0000-00-00,1,0,,single,,^^62400^0^0^0^1480^0,색상(Color)^o,색상(Color)^퍼플^0|색상(Color)^옐로우^0|색상(Color)^화이트^0|색상(Color)^핑크^0|색상(Color)^DK핑크^0,,,,,,,,1,,,,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
68144,조화 미니 별꽃 스타플라워 꽃 스프레이 65cm 2색 택1 인조 꽃장식 연출 소재,022060029|022060|022,,,mdeco.co.kr(z1(퍼플).j),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br> 2가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> 낱개 주문시 6,400원<br>24개 세트 주문시 120,000원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 65cm 가량<br> 가로폭 : 18cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/1-8image/j-flower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-031.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-033.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-032.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-034.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-035.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-036.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-037.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-038.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-039.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-040.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-172.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-173.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-174.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-181.jpg""><br> <img src=""https://img.mdeco.kr/2021-07-06/20210722-182.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1626937055638i0.jpg,1626937055995s0.jpg,1626937055895m0.jpg,1626937055983l0.jpg,,0000-00-00,1,0,,double,색상(Color)|수량,퍼플^낱개 주문 시^6400^8000^0^0^1480^0|퍼플^24개 세트 (박스) 주문 시^120000^8000^0^0^1480^0|핑크^낱개 주문 시^6400^8000^0^0^1480^0|핑크^24개 세트 (박스) 주문 시^120000^8000^0^0^1480^0,^,,,,,,,,,1,,,563.000.0132(24/240),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
67797,조화 별꽃 스타플라워 꽃 스프레이 80cm 24개 세트 2색 택1 인조 꽃장식 연출 소재,022060029|022060|022,,,mdeco.co.kr(dy),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br> 2가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br>24개 세트로 배송되는 제품 입니다.<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 80cm 가량<br> 가로폭 : 23cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-067.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-069.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-068.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-070.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-071.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-072.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-073.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-074.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-075.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-076.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-448.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-449.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-450.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-550.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-06/20210618-551.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1624002352549i0.jpg,1624002352878s0.jpg,1624002352676m0.jpg,1624002352725l0.jpg,,0000-00-00,1,0,,double,색상(Color),옐로우^^129600^129600^0^0^1480^0|화이트^^115200^115200^0^0^1480^0,^,,,,,,,,,1,,,DS-276(24/240),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
67564,조화 PVC 별꽃 스타플라워 꽃 번들 30cm 24개 세트 5색 택1 인조 꽃장식 연출 소재,022060|022060029|022,,,mdeco.co.kr(c),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br> 5가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br>24개 세트로 배송 되는 제품 입니다.<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 30cm 가량<br> 가로 폭 : 21cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-177.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-179.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-178.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-180.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-181.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-182.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-183.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-184.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-185.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-186.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-187.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-188.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-189.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-190.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-191.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-192.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-01/20210607-193.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-02/20210608-022.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-02/20210608-023.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-02/20210608-024.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-02/20210608-025.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-02/20210608-026.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-02/20210608-058.jpg""><br> <img src=""https://img.mdeco.kr/2021-06-02/20210608-059.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1623052318265i0.jpg,1623052318209s0.jpg,1623052318282m0.jpg,1623052318517l0.jpg,,0000-00-00,1,0,o,double,색상(Color),그린^^57600^60600^0^0^1480^0|민트^^57600^60600^0^0^1480^0|퍼플^^57600^60600^0^0^1480^0|피치^^57600^60600^0^0^1480^0|오렌지^^57600^60600^0^0^1480^0,^,,,,,,,,,1,,,T85-43,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
66436,조화 미니 별꽃 스타플라워 꽃 씨드 부쉬 31cm 5색 택1 인조 꽃장식 연출 소재,022060029|022|022060,,,mdeco.co.kr(z2블루.j),0,1,0,0,,,,"<b>▒ 제품 설명</b><br> 5가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> 낱개 1개씩 주문시 개당 4,000원<br>24개 세트로 주문시 72,000원<br> <br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 31cm 가량<br> 가로폭 : 19cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/3-flower.jpg""><br> <br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-015.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-016.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-017.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-018.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-019.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-020.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-021.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-022.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-023.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-024.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-025.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-026.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-027.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-028.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-029.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-196.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-197.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-198.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-199.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-200.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-201.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-202.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-203.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-204.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-205.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-254.jpg""><br> <img src=""http://img.mdeco.kr/2021-01-03/20210111-255.jpg""><br> <br> <img src=""http://img.mdeco.kr/1-8image/all.jpg""><br>",1610353727724i0.jpg,1610353727258s0.jpg,1610353727564m0.jpg,1610353727474l0.jpg,,0000-00-00,1,0,,single,,^^3900^5000^0^0^14800^0,색상(Color)^o|수량^o,색상(Color)^아이보리^0|색상(Color)^라벤더^0|색상(Color)^블루^0|색상(Color)^옐로우 - 품절^0|색상(Color)^오렌지 - 품절^0|수량^낱개 주문 시^0|수량^24개 세트(박스) 주문 시^68000,,,,,,,,1,,,863.000.0014(24/384) (8F),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
66347,조화 별꽃 스타플라워 꽃 후로킹 부쉬 36cm 4색 택1 인조 꽃장식 연출 소재,022060|022|022060029,,,mdeco.co.kr(j),0,1,0,0,,,,"<b>▒ 제품 설명</b><br> 낱개 1개씩 주문 시 개당 5,600원<br>36개 세트로 주문 시 158,400원<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 36cm 가량<br> 가로폭 : 25cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다. 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/1-8image/j-flower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-001.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-003.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-002.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-004.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-005.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-006.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-007.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-008.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-009.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-010.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-011.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-012.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-013.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-014.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-015.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-016.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-017.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-101.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-102.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-103.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-104.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-105.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-106.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-107.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-108.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-145.jpg""><br> <img src=""https://img.mdeco.kr/2020-12-04/20201228-146.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br>",160913387428i0.jpg,1609133874527s0.jpg,1609133874228m0.jpg,1609133874147l0.jpg,,,1,1,,single,,^^5600^7000^0^0^0^0,색상(Color)^o|수량^o,색상(Color)^옐로우 - 품절^0|색상(Color)^화이트^0|색상(Color)^바이올렛^0|색상(Color)^퍼플^0|수량^낱개 주문 시^0|수량^36개 세트(박스) 주문 시^152800,,,,,,,,1,,,939.000.0039(36/288),N,0,,,,,,,,,0,,,,,img_i,img_s,img_m,img_l,,,0,,,,,,Y,0,0,,N,Y
