상품번호,상품명(필수),상품분류(필수),상품코드,원산지,제조사,브랜드번호,과세/비과세,배송정책,적립금정책,유사검색어,가격대체문구,짧은설명,상품설명,메인이미지,리스트이미지,상세이미지,확대이미지,관리 메모,출시일,상품출력여부,품절상품,재고량연동,옵션출력방식,가격/재고 옵션명,가격/재고 옵션목록,추가상품제목,추가상품목록,상품추가정보 제목,상품추가정보1,상품추가정보2,상품추가정보3,상품추가정보4,상품추가정보5,상품추가정보6,관련상품방식,관련상품번호,상품필수정보,모델명,상품상태,공급가격,입력옵션제목,입력옵션목록,회원 적립금혜택 제외,회원 할인혜택 제외,제조일자,유효일자시작,유효일자끝,이벤트문구,모바일 전용 이미지 사용여부,모바일 메인 이미지,모바일 리스트 이미지,모바일 상세 이미지,모바일 확대 이미지,모바일 메인에 사용될 PC 이미지,모바일 리스트 사용될 PC 이미지,모바일 상세 사용될 PC 이미지,모바일 확대 사용될 PC 이미지,수입 및 제작 여부,판매방식 구분,주 이용 고객층,성별,상품속성,검색태그,네이버 카테고리,가격비교 페이지 ID,네이버쇼핑 노출 설정,상품별 배송비,페이스북 광고 사용 설정,페이스북 광고 제품 피드 이미지,도서공연비 소득공제 상품 여부,다음 쇼핑하우 노출 설정
goodsno,goodsnm,goodscate,goodscd,origin,maker,brandno,tax,delivery_type,use_emoney,keyword,strprice,shortdesc,longdesc,img_i,img_s,img_m,img_l,memo,launchdt,open,runout,usestock,opttype,optnm,opts,addoptnm,addopts,ex_title,ex1,ex2,ex3,ex4,ex5,ex6,relationis,relation,extra_info,model_name,goods_status,provider_price,inputable_addoptnm,inputable_addopts,exclude_member_reserve,exclude_member_discount,manufacture_date,effective_date_start,effective_date_end,naver_event,use_mobile_img,img_w,img_x,img_y,img_z,img_pc_w,img_pc_x,img_pc_y,img_pc_z,naver_import_flag,naver_product_flag,naver_age_group,naver_gender,naver_attribute,naver_search_tag,naver_category,naver_product_id,naver_shopping_yn,goods_delivery,use_facebook,img_facebook,culture_benefit,daum_shopping_yn
75743,조화 민들레 홀씨 가지 68cm 고급조화 예쁜조화 연출 장식 조화꽃,022060013|022060|022,,,mdeco.co.kr(m),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br> 낱개 주문시 7,900원<br>12개 세트 주문시 74,400원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 68cm 가량<br> 가로폭 : 13cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있답니다.<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2024-06-02/20240610-124.jpg""><br> <img src=""https://img.mdeco.kr/2024-06-02/20240610-125.jpg""><br> <img src=""https://img.mdeco.kr/2024-06-02/20240610-128.jpg""><br> <img src=""https://img.mdeco.kr/2024-06-02/20240610-126.jpg""><br> <img src=""https://img.mdeco.kr/2024-06-02/20240610-127.jpg""><br> <img src=""https://img.mdeco.kr/2024-06-02/20240610-311.jpg""><br> <img src=""https://img.mdeco.kr/2024-06-02/20240610-312.jpg""><br> <img src=""https://img.mdeco.kr/2024-06-02/20240610-011.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",1717994262566i0.jpg,1717994262147s0.jpg,1717994262519m0.jpg,1717994262669l0.jpg,,0000-00-00,1,1,o,single,,^^7900^9800^0^0^0^0,수량^o,수량^낱개 주문 시^0|수량^12개 세트 (박스) 주문 시^66500,,,,,,,,1,,,24FMYT2403018.CL/KR(12/120),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
75517,조화 진달래 가지 63cm 3색 택1 진달래꽃 블러썸 매화 조화 꽃 인조 나무 고급조화,022060013|022060|022,,,mdeco.co.kr(z),0,1,0,0,,,,"<p></p><center><b>▒ 제품 설명</b><br> 3가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 63cm 가량<br> 가로폭 : 13cm 가량<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-283.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-285.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-284.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-286.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-287.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-288.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-289.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-290.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-291.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-292.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-293.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-294.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-295.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-422.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-441.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/rosebay.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center><p></p>",1715243530939i0.jpg,1715243530592s0.jpg,1715243530574m0.jpg,1715243530853l0.jpg,,0000-00-00,1,0,,double,색상(Color),레드^^1680^2200^0^0^1480^0|핑크^^1680^2200^0^0^1480^0|DK핑크^^1680^2200^0^0^1480^0,^,,,,,,,,,1,,,1688-2024-04-23,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
75516,조화 진달래 부쉬 41cm 2색 택1 진달래꽃 홍매화 블러썸 매화 조화 꽃 인조 나무 고급조화,022|022060013|022060,,,mdeco.co.kr(z),0,1,0,0,,,,"<p></p><center><b>▒ 제품 설명</b><br> 2가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 41cm 가량<br> 가로폭 : 19cm 가량<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-270.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-272.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-271.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-273.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-274.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-275.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-276.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-277.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-278.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-279.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-280.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-281.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-282.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-423.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-424.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-425.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-426.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-442.jpg""><br> <img src=""https://img.mdeco.kr/2024-05-01/20240509-443.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/rosebay.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center><p></p>",1715243522262i0.jpg,1715243522705s0.jpg,171524352260m0.jpg,1715243522277l0.jpg,,0000-00-00,1,0,,double,색상(Color),핑크^^3700^4900^0^0^1480^0|레드^^3700^4900^0^0^1480^0,^,,,,,,,,,1,,,1688-2024-04-23,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
75052,조화 유채 꽃 가지 107cm 꽃장식 연출 조화꽃 예쁜조화 고급조화,010015|010|022060|022|010015001|022060013,,,mdeco.co.kr(z),0,1,0,0,,,,"<p></p><center><b>▒ 제품 설명</b><br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 107cm 가량<br> 가로폭 : 24cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있답니다.<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-054.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-055.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-056.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-057.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-058.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-232.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/reed1.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center><p></p>",1710825376342i0.jpg,1710825376727s0.jpg,1710825376466m0.jpg,1710825376811l0.jpg,,0000-00-00,1,0,,single,,^^6600^7900^0^0^1480^0,^,,,,,,,,,1,,,1688-2024-02-23,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
75051,조화 유채 꽃 가지 100cm 꽃장식 연출 조화꽃 예쁜조화 고급조화,010015|010|022060013|022060|022|010015001,,,mdeco.co.kr(z),0,1,0,0,,,,"<p></p><center><b>▒ 제품 설명</b><br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 100cm 가량<br> 가로폭 : 24cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있답니다.<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-049.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-050.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-051.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-052.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-053.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-231.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/reed1.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center><p></p>",1710825368397i0.jpg,1710825368227s0.jpg,1710825368630m0.jpg,1710825368586l0.jpg,,0000-00-00,1,0,,single,,^^4300^4900^0^0^1480^0,^,,,,,,,,,1,,,1688-2024-02-23,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
75050,조화 유채 꽃 가지 108cm 꽃장식 연출 조화꽃 예쁜조화 고급조화,010015|010|022060013|010015001|022|022060,,,mdeco.co.kr(z),0,1,0,0,,,,"<p></p><center><b>▒ 제품 설명</b><br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 108cm 가량<br> 가로폭 : 16cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있답니다.<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-044.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-045.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-046.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-047.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-048.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-230.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/reed1.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center><p></p>",1710825328656i0.jpg,1710825328733s0.jpg,1710825328318m0.jpg,1710825328143l0.jpg,,0000-00-00,1,0,,single,,^^4400^5500^0^0^1480^0,^,,,,,,,,,1,,,1688-2024-02-23,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
75049,조화 유채 꽃 가지 73cm 꽃장식 연출 조화꽃 예쁜조화 고급조화,022060|022|010015|010015001|010|022060013,,,mdeco.co.kr(z),0,1,0,0,,,,"<p></p><center><b>▒ 제품 설명</b><br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 73cm 가량<br> 가로폭 : 13cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있답니다.<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-040.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-041.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-042.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-043.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-06/20240319-229.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/reed1.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center><p></p>",1710825319278i0.jpg,1710825319986s0.jpg,1710825319785m0.jpg,1710825319131l0.jpg,,,1,0,,single,,^^3600^4500^0^0^1480^0,^,,,,,,,,,1,,,1688-2024-02-23,N,0,,,,,,,,,0,,,,,img_i,img_s,img_m,img_l,,,0,,,,,,Y,0,0,,N,Y
74480,조화 새순가지 132cm 인조 갯버들 조화꽃 나뭇가지 꽃 꽃장식 연출 소재,022|022060|022060013,,,mdeco.co.kr(m),0,1,0,0,,,,"<b>▒ 제품 설명</b><br> 낱개 주문 시 8,800원<br>12개 세트 주문 시 84,000원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 132cm 가량<br> 가로폭 : 20cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-174.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-175.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-177.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-176.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-313.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-314.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-356.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/reed1.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br>",1704870817202i0.jpg,1704870817200s0.jpg,170487081774m0.jpg,1704870817981l0.jpg,,0000-00-00,1,0,,single,수량,낱개 주문 시^^8800^11000^0^0^1480^0|12개 세트 (박스) 주문 시^^84000^11000^0^0^1480^0,^,,,,,,,,,1,,,24FMHF316001.CY/YY(12/144),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
74471,조화 유채꽃 가지 67cm 3색 택1 조화꽃 인조 알케밀라 몰리스 꽃장식,022|022060|022060013,,,mdeco.co.kr(m),0,1,0,0,,,,"<b>▒ 제품 설명</b><br>3가지 색상입니다.&#160;<div>주문 시 색상을 선택해 주세요.&#160;</div><div><br></div><div>낱개 주문 시 5,600원<br>24개 세트 주문 시 105,600원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 67cm 가량<br> 가로폭 : 19cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-098.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-096.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-097.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-099.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-100.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-101.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-102.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-103.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-104.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-105.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-106.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-107.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-108.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-288.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-289.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-290.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-291.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-344.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-345.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></div>",1704870715859i0.jpg,1704870715226s0.jpg,1704870715470m0.jpg,1704870715256l0.jpg,,0000-00-00,1,1,,double,색상(Color),핑크^^5600^7000^0^0^0^0|화이트^^5600^7000^0^0^0^0|옐로우^^5600^7000^0^0^0^0,수량^o,수량^낱개 주문 시^0|수량^24개 세트(박스) 주문 시^100000,,,,,,,,1,,,24MFQH417535.UU/CY(24/288),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
