상품번호,상품명(필수),상품분류(필수),상품코드,원산지,제조사,브랜드번호,과세/비과세,배송정책,적립금정책,유사검색어,가격대체문구,짧은설명,상품설명,메인이미지,리스트이미지,상세이미지,확대이미지,관리 메모,출시일,상품출력여부,품절상품,재고량연동,옵션출력방식,가격/재고 옵션명,가격/재고 옵션목록,추가상품제목,추가상품목록,상품추가정보 제목,상품추가정보1,상품추가정보2,상품추가정보3,상품추가정보4,상품추가정보5,상품추가정보6,관련상품방식,관련상품번호,상품필수정보,모델명,상품상태,공급가격,입력옵션제목,입력옵션목록,회원 적립금혜택 제외,회원 할인혜택 제외,제조일자,유효일자시작,유효일자끝,이벤트문구,모바일 전용 이미지 사용여부,모바일 메인 이미지,모바일 리스트 이미지,모바일 상세 이미지,모바일 확대 이미지,모바일 메인에 사용될 PC 이미지,모바일 리스트 사용될 PC 이미지,모바일 상세 사용될 PC 이미지,모바일 확대 사용될 PC 이미지,수입 및 제작 여부,판매방식 구분,주 이용 고객층,성별,상품속성,검색태그,네이버 카테고리,가격비교 페이지 ID,네이버쇼핑 노출 설정,상품별 배송비,페이스북 광고 사용 설정,페이스북 광고 제품 피드 이미지,도서공연비 소득공제 상품 여부,다음 쇼핑하우 노출 설정
goodsno,goodsnm,goodscate,goodscd,origin,maker,brandno,tax,delivery_type,use_emoney,keyword,strprice,shortdesc,longdesc,img_i,img_s,img_m,img_l,memo,launchdt,open,runout,usestock,opttype,optnm,opts,addoptnm,addopts,ex_title,ex1,ex2,ex3,ex4,ex5,ex6,relationis,relation,extra_info,model_name,goods_status,provider_price,inputable_addoptnm,inputable_addopts,exclude_member_reserve,exclude_member_discount,manufacture_date,effective_date_start,effective_date_end,naver_event,use_mobile_img,img_w,img_x,img_y,img_z,img_pc_w,img_pc_x,img_pc_y,img_pc_z,naver_import_flag,naver_product_flag,naver_age_group,naver_gender,naver_attribute,naver_search_tag,naver_category,naver_product_id,naver_shopping_yn,goods_delivery,use_facebook,img_facebook,culture_benefit,daum_shopping_yn
78976,미니 클레마티스 넝쿨 바인 화이트 82cm 24개 세트 조화꽃 예쁜조화 고급조화 꽃장식 연출 행잉,022|022060|022060028,,,mdeco.co.kr(jh),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br>24개 세트로 배송 되는 제품 입니다.<br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 일자로 펼쳤을 때<br> 길이 : 82cm 가량<br> <br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-008.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-009.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-010.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-011.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-098.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-099.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-194.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",1746683312132i0.jpg,1746683312686s0.jpg,1746683312836m0.jpg,1746683312199l0.jpg,,0000-00-00,1,0,o,double,수량,24개 세트^^124800^144000^0^0^1480^0,^,,,,,,,,,1,,,,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
78975,조화 클레마티스 가지 화이트 77cm 12개 세트 조화꽃 예쁜조화 고급조화 꽃장식 연출,022|022060|022060028,,,mdeco.co.kr(jh),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br>24개 세트로 배송 되는 제품 입니다.<br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 77cm 가량<br> 가로 폭 : 30cm 가량<br> <br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-003.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-004.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-005.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-006.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-007.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-096.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-097.jpg""><br> <img src=""https://img.mdeco.kr/2025-05-01/20250508-193.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",1746683303788i0.jpg,1746683303781s0.jpg,1746683303233m0.jpg,1746683303271l0.jpg,,,1,0,o,double,수량,24개 세트^^72000^84000^0^0^1480^0,^,,,,,,,,,1,,,,N,0,,,,,,,,,0,,,,,img_i,img_s,img_m,img_l,,,0,,,,,,Y,0,0,,N,Y
78598,조화 클레마티스 가지 72cm 12개 세트 3색 택1 조화꽃 예쁜조화 고급조화 꽃장식 연출,022|022060|022060028,,,mdeco.co.kr(L),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br> 3가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br>12개 세트로 배송 되는 제품 입니다.<br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 72cm 가량<br> 가로 폭 : 17cm 가량<br> <br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-182.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-181.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-183.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-184.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-185.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-186.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-187.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-188.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-189.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-190.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-425.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-426.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-06/20250320-045.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",1742439476476i0.jpg,174243947630s0.jpg,1742439476657m0.jpg,174243947654l0.jpg,,0000-00-00,1,0,o,double,색상(Color),퍼플^^48000^56000^0^0^1480^0|화이트^^48000^56000^0^0^1480^0|바이올렛^^48000^56000^0^0^1480^0,^,,,,,,,,,1,,,PSE4062(12/144),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
78339,조화 도그우드 꽃 가지 97cm 12개 세트 더그우드 스프레이 조화꽃 고급조화 연출 장식 예쁜꽃 식물,022060028|022060|022,,,mdeoc.co.kr(3),0,1,0,0,,,,"<center><font size=""3""><b>▒ 제품 설명</b><br>12개 세트로 배송 되는 제품 입니다.<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 97cm 가량<br> 가로 폭 : 24cm 가량</font></center><center><font size=""3""><br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)</font><br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-037.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-038.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-039.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-040.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-041.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-042.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-043.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-070.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-071.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-072.jpg""><br> <img src=""https://img.mdeco.kr/2025-03-02/20250304-095.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/dogwood.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><center></center></center>",1741065354132i0.jpg,1741065354549s0.jpg,1741065354934m0.jpg,1741065354384l0.jpg,,0000-00-00,1,0,o,single,,^^187200^208000^0^0^14800^0,^,,,,,,,,,1,,,HF-5458,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
77770,조화 싱글 클레마티스 참제비고깔 가지 80cm 4색 택1 각24개 세트 꽃장식 연출 예쁜조화 고급조화,022|022060028|022060,,,mdeco.co.kr(ws.zz),0,1,0,0,,,,"<center><font size=""3""><b>▒ 제품 설명</b><br> 4가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> 각 24개 세트로 배송 되는 제품입니다.<br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 세로 : 80cm 가량<br> 가로 : 9cm 가량</font><br> <br> <br> <img src=""https://img.mdeco.kr/1-8image/1-ws.jpg""><br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-001.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-003.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-002.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-004.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-005.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-006.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-007.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-008.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-009.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-010.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-011.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-012.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-013.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-014.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-015.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-016.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-017.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-045.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-046.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-047.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-048.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-049.jpg""><br> <img src=""https://img.mdeco.kr/2024-12-10/20241224-054.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/scabiosa.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",1735008167149i0.jpg,1735008167138s0.jpg,1735008167435m0.jpg,1735008167816l0.jpg,,0000-00-00,1,0,,double,색상(Color),라벤더^^62400^69000^0^0^1480^0|핑크^^62400^69000^0^0^1480^0|크림^^62400^69000^0^0^1480^0|블루^^62400^69000^0^0^1480^0,^,,,,,,,,,1,,,M-258,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
76423,조화 도그우드 스프레이 화이트 100cm 24개 세트 고급조화 예쁜조화 연출 장식 조화꽃,022060028|022060|022,,,mdeco.co.kr(e),0,1,0,0,,,,"<p></p><center><b>▒ 제품 설명</b><br> 개 세트로 배송되는 제품 입니다.<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 100cm 가량<br> 가로폭 : 23cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있습니다.<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-08-02/20240814-226.jpg""><br> <img src=""https://img.mdeco.kr/2024-08-02/20240814-227.jpg""><br> <img src=""https://img.mdeco.kr/2024-08-02/20240814-228.jpg""><br> <img src=""https://img.mdeco.kr/2024-08-02/20240814-229.jpg""><br> <img src=""https://img.mdeco.kr/2024-08-02/20240814-323.jpg""><br> <img src=""https://img.mdeco.kr/2024-08-02/20240814-324.jpg""><br> <img src=""https://img.mdeco.kr/2024-08-02/20240814-343.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/dogwood.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center><p></p>",1723622389502i0.jpg,1723622389531s0.jpg,1723622389568m0.jpg,1723622389593l0.jpg,,0000-00-00,1,0,,single,,^^120000^0^0^0^1480^0,^,,,,,,,,,1,,,ES-4089,N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
74930,조화 도그우드 가지 96cm 24개 세트 꽃장식 예쁜조화 고급조화 연출 조화꽃,022060|022|022060028,,,mdeco.co.kr(dy),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br>24개 세트로 배송되는 제품 입니다.<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 96cm 가량<br> 가로폭 : 30cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-160.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-161.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-162.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-163.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-164.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-268.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-269.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-270.jpg""><br> <img src=""https://img.mdeco.kr/2024-03-02/20240312-308.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/dogwood.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1710216933527i0.jpg,1710216933525s0.jpg,1710216933186m0.jpg,1710216933227l0.jpg,,0000-00-00,1,0,,single,,^^201600^0^0^0^1480^0,^,,,,,,,,,1,,,DY-469(24/288),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
74794,조화 도그우드 스프레이 65cm 2색 택1 각 24개 세트 조화꽃 예쁜조화 고급조화 꽃장식 연출,022|022060|022060028,,,mdeco.co.kr(ws),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br> 2가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br>색상 별 각 24개 세트로 배송되는 제품 입니다.<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 65cm 가량<br> 가로폭 : 15cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> <br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/1-8image/1-ws.jpg""><br> <br> <br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-075.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-077.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-076.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-078.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-079.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-080.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-081.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-082.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-083.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-084.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-157.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-158.jpg""><br> <img src=""https://img.mdeco.kr/2024-02-05/20240216-195.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/dogwood.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1708061514620i0.jpg,1708061514771s0.jpg,1708061514715m0.jpg,1708061514349l0.jpg,,0000-00-00,1,0,,double,색상(Color),핑크^^84600^0^1700^0^1480^0|크림^^84600^0^0^0^1480^0,^,,,,,,,,,1,,,M-241(24/240),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
74484,조화 클레마티스 스프레이 클레멘티스 꽃 106cm 3색 택1 인조 꽃장식 고급조화 예쁜조화,022|022060028|022060,,,mdeco.co.kr(m),0,1,0,0,,,,"<b>▒ 제품 설명</b><br>3가지 색상입니다.&nbsp;<div>주문 시 색상을 선택해 주세요.</div><div><br></div><div>낱개 주문 시 16,200원<br>24개 세트 주문 시 307,200원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 106cm 가량<br> 가로 폭 : 15cm 가량</div><div><br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-191.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-190.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-192.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-195.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-197.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-198.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-199.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-200.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-196.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-321.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-322.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-323.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-324.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-360.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/scabiosa.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></div>",1704870871278i0.jpg,1704870871211s0.jpg,1704870871762m0.jpg,1704870871303l0.jpg,,0000-00-00,1,0,,double,색상(Color),퍼플^^16200^20200^0^0^1480^0|화이트^^16200^20200^0^0^1480^0|로즈^^16200^20200^0^0^1480^0,수량^o,수량^낱개 주문 시^0|수량^24개 세트(박스) 주문 시^291000,,,,,,,,1,,,24FMQH400009.SK/LEL(24/192),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
