상품번호,상품명(필수),상품분류(필수),상품코드,원산지,제조사,브랜드번호,과세/비과세,배송정책,적립금정책,유사검색어,가격대체문구,짧은설명,상품설명,메인이미지,리스트이미지,상세이미지,확대이미지,관리 메모,출시일,상품출력여부,품절상품,재고량연동,옵션출력방식,가격/재고 옵션명,가격/재고 옵션목록,추가상품제목,추가상품목록,상품추가정보 제목,상품추가정보1,상품추가정보2,상품추가정보3,상품추가정보4,상품추가정보5,상품추가정보6,관련상품방식,관련상품번호,상품필수정보,모델명,상품상태,공급가격,입력옵션제목,입력옵션목록,회원 적립금혜택 제외,회원 할인혜택 제외,제조일자,유효일자시작,유효일자끝,이벤트문구,모바일 전용 이미지 사용여부,모바일 메인 이미지,모바일 리스트 이미지,모바일 상세 이미지,모바일 확대 이미지,모바일 메인에 사용될 PC 이미지,모바일 리스트 사용될 PC 이미지,모바일 상세 사용될 PC 이미지,모바일 확대 사용될 PC 이미지,수입 및 제작 여부,판매방식 구분,주 이용 고객층,성별,상품속성,검색태그,네이버 카테고리,가격비교 페이지 ID,네이버쇼핑 노출 설정,상품별 배송비,페이스북 광고 사용 설정,페이스북 광고 제품 피드 이미지,도서공연비 소득공제 상품 여부,다음 쇼핑하우 노출 설정
goodsno,goodsnm,goodscate,goodscd,origin,maker,brandno,tax,delivery_type,use_emoney,keyword,strprice,shortdesc,longdesc,img_i,img_s,img_m,img_l,memo,launchdt,open,runout,usestock,opttype,optnm,opts,addoptnm,addopts,ex_title,ex1,ex2,ex3,ex4,ex5,ex6,relationis,relation,extra_info,model_name,goods_status,provider_price,inputable_addoptnm,inputable_addopts,exclude_member_reserve,exclude_member_discount,manufacture_date,effective_date_start,effective_date_end,naver_event,use_mobile_img,img_w,img_x,img_y,img_z,img_pc_w,img_pc_x,img_pc_y,img_pc_z,naver_import_flag,naver_product_flag,naver_age_group,naver_gender,naver_attribute,naver_search_tag,naver_category,naver_product_id,naver_shopping_yn,goods_delivery,use_facebook,img_facebook,culture_benefit,daum_shopping_yn
77838,조화 프로테아 꽃 프로티아 조화꽃 가지 90cm 2색 택1 인조 열대꽃 열대식물 꽃장식 고급조화 예쁜조화,022|022060035|022060,,,mdeco.co.kr(m),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br> 2가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> <br>12개 세트 주문시<br> <b>할인 적용되어 184,800원에 판매 됩니다.</b><br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 90cm 가량<br> 가로 폭 : 25cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있답니다.<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-543.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-542.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-544.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-545.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-546.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-547.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-548.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-549.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-550.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-551.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-552.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-553.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-702.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-703.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-704.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-004.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",1735886824414i0.jpg,1735886824871s0.jpg,17358868242m0.jpg,1735886824393l0.jpg,,0000-00-00,1,0,,double,색상(Color),핑크그린^^19360^24200^0^0^1480^0|퍼플그린^^19360^24200^0^0^1480^0,수량^o,수량^낱개^0|수량^12개 세트^165440,,,,,,,,1,,,25FMQH919008.TT/LUL(12/144),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
77825,조화 싱글 방크시아 꽃 방크샤 조화꽃 가지 64cm 인조 열대꽃 열대식물 꽃장식 고급조화 예쁜조화,022|022060|022060035,,,mdeco.co.kr(m),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br> <br>12개 세트 주문시<br> <b>할인 적용되어 88,800원에 판매 됩니다.</b><br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 64cm 가량<br> 가로 폭 : 19cm 가량</center><center><br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있답니다.<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-417.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-418.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-419.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-420.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-661.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-662.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-734.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/artichoke.jpg""><br> <img src=""https://img.mdeco.kr/0-thereals/banksha.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",1735886637352i0.jpg,173588663741s0.jpg,1735886637610m0.jpg,1735886637392l0.jpg,,0000-00-00,1,0,,single,,^^9280^11600^0^0^0^0,수량^o,수량^낱개^0|수량^12개 세트^79520,,,,,,,,1,,,25FMKL428007.CT/YO(12/120),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
77824,조화 프로테아 꽃 프로티아 조화꽃 가지 66cm 인조 열대꽃 열대식물 꽃장식 고급조화 예쁜조화,022060035|022|022060,,,mdeco.co.kr(m),0,1,0,0,,,,"<center><b>▒ 제품 설명</b><br> <br>12개 세트 주문시<br> <b>할인 적용되어 153,600원에 판매 됩니다.</b><br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 66cm 가량<br> 가로 폭 : 20cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문 주세요.<br> 보통 가로 사이즈는 바닥에 놓은 상태에서<br> 측정하고 있답니다.<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-412.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-413.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-414.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-415.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-416.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-659.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-660.jpg""><br> <img src=""https://img.mdeco.kr/2025-01-01/20250103-733.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center>",1735886628576i0.jpg,1735886628201s0.jpg,1735886628780m0.jpg,1735886628675l0.jpg,,0000-00-00,1,0,,single,,^^16160^20200^0^0^1480^0,수량^o,수량^낱개^0|수량^12개 세트^137440,,,,,,,,1,,,25FMQH919007.SK/LEL(12/144),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
75266,조화 방크샤 방크시아 가지 66cm 4색 택1 아트꽃 스펀지플라워 인조 열대꽃 열대식물 꽃장식 고급조화 예쁜조화,022|022060|022060035,,,mdeco.co.kr(j),0,1,0,0,,,,"<p></p><center><b>▒ 제품 설명</b><br> 4가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br><br> <br> 낱개 주문시 6,400원<br>24개 세트 주문시 115,200원<br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 66cm 가량<br> 가로폭 : 18cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/1-8image/j-flower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-214.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-213.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-215.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-216.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-217.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-218.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-219.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-220.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-221.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-222.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-223.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-224.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-225.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-226.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-320.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-321.jpg""><br> <img src=""https://img.mdeco.kr/2024-04-02/20240411-377.jpg""><br> <br><img src=""https://img.mdeco.kr/0-thereals/banksha.jpg""> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></center><p></p>",1712823430360i0.jpg,1712823430216s0.jpg,1712823430983m0.jpg,1712823430290l0.jpg,,0000-00-00,1,0,,double,색상(Color),버건디^^6400^8000^0^0^1480^0|크림퍼플^^6400^8000^0^0^1480^0|크림^^6400^8000^0^0^1480^0|퍼플^^6400^8000^0^0^1480^0,수량^o,수량^낱개 주문 시^0|수량^24개 세트 (박스) 주문 시^108800,,,,,,,,1,,,716.000.0076(24/120),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
74461,조화 아티초크 꽃 아티소 아티쵸크 조화꽃 40cm 3색 택1 인조 열대꽃 꽃장식 고급조화 예쁜조화,022060035|022|022060,,,mdeco.co.kr(m),0,1,0,0,,,,"<b>▒ 제품 설명</b><br>3가지 색상입니다.&#160;<div>주문 시 색상을 선택해 주세요.&#160;</div><div><br></div><div>낱개 주문 시 12,800원<br>18개 세트 주문 시 183,600원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 40cm 가량<br> 가로폭 : 30cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-014.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-012.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-013.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-015.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-016.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-017.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-018.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-019.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-020.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-021.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-022.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-023.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-262.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-263.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-264.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-265.jpg""><br> <img src=""https://img.mdeco.kr/2024-01-03/20240110-335.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></div>",1704870561745i0.jpg,1704870561212s0.jpg,1704870561552m0.jpg,1704870561515l0.jpg,,0000-00-00,1,0,,double,색상(Color),커피그린^^12800^16000^0^0^1480^0|레드그린^^12800^16000^0^0^1480^0|LT그린^^12800^16000^0^0^1480^0,수량^o,수량^낱개 주문 시^0|수량^18개 세트(박스) 주문 시^170800,,,,,,,,1,,,24FMQH261551.YL/O(18/216),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
73057,조화 아티초크 프로티아 가지 48cm 3색 택1 인조 열대꽃 식물 꽃장식 고급조화 예쁜조화,022060|022|022060035,,,mdeco.co.kr(j),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br> 3가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> 낱개 주문시 6,400원<br>24개 세트 주문시 115,200원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 48cm 가량<br> 가로폭 : 9cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/1-8image/j-flower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-248.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-250.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-249.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-251.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-252.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-253.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-254.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-255.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-256.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-257.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-047.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-048.jpg""><br> <img src=""https://img.mdeco.kr/2023-07-07/20230726-089.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1690347763249i0.jpg,1690347763115s0.jpg,1690347763760m0.jpg,1690347763724l0.jpg,,0000-00-00,1,0,,double,색상(Color),그린^^6400^8000^0^0^1480^0|핑크그린^^6400^8000^0^0^1480^0|핑크^^6400^8000^0^0^1480^0,수량^o,수량^낱개 주문 시^0|수량^24개 세트 (박스) 주문 시^108800,,,,,,,,1,,,485.000.0255(24/240),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
72814,조화 핀쿠션 프로테아 스프레이 프로티아 78cm 2색 택1 인조 식물 잎 플랜테리어 실내 조경 장식 소재,022060|022|022060035,,,mdeco.co.kr(j),0,1,0,0,,,,"<b>▒ 제품 설명</b><br> 2가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> 낱개 주문시 4,800원<br>24개 세트 주문시 81,600원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 78cm 가량<br> 가로폭 : 18cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-129.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-131.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-130.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-132.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-133.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-134.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-135.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-136.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-137.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-035.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-036.jpg""><br> <img src=""https://img.mdeco.kr/2023-06-04/20230628-062.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br>",1687931378286i0.jpg,1687931378375s0.jpg,168793137855m0.jpg,1687931378584l0.jpg,,0000-00-00,1,0,,double,색상(Color),레드^^4800^6000^0^0^1480^0|그린^^4800^6000^0^0^1480^0,수량^o,수량^낱개 주문 시^0|수량^24개 세트 (박스) 주문 시^76800,,,,,,,,1,,,447.000.0071(24/192),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
72201,조화 프로테아 꽃 프로티아 조화꽃 가지 100cm 3색 택1 인조 열대꽃 열대식물 꽃장식 고급 예쁜조화,022060|022|022060035,,,mdeco.co.kr(j),0,1,0,0,,,,"<p><b>▒ 제품 설명</b><br> 3가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> 낱개 주문시 21,600원<br>12개 세트 주문시 192,000원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 100cm 가량<br> 가로폭 : 16cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""https://img.mdeco.kr/1-8image/j-flower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-131.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-133.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-132.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-134.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-135.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-136.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-137.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-138.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-139.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-140.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-141.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-220.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-221.jpg""><br> <img src=""https://img.mdeco.kr/2023-01-05/20230110-249.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br></p>",1673318004649i0.jpg,1673318004118s0.jpg,1673318004556m0.jpg,1673318004660l0.jpg,,0000-00-00,1,0,,double,색상(Color),버건디^^21600^27000^0^0^1480^0|그린^^21600^27000^0^0^1480^0|옐로우^^21600^27000^0^0^1480^0,수량^o,수량^낱개 주문 시^0|수량^12개 세트 (박스) 주문 시^170400,,,,,,,,1,,,975.000.0015(12/96),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
70673,조화 아티초크 꽃 아티소 아티쵸크 조화꽃 37cm 4색 택1 인조 열대꽃 꽃장식 고급조화 예쁜조화,022|022060035|022060,,,mdeco.co.kr(m),0,1,0,0,,,,"<b>▒ 제품 설명</b><br> 4가지 색상 입니다.<br> 주문 시 색상을 선택하여 주세요.<br> <br> 낱개 주문시 5,300원<br>24개 세트 주문시 100,800원<br> <br> <br> <br> <br> <br> <br> <br> <b>▒ 제품 사이즈</b><br> 길이 : 37cm 가량<br> 가로폭 : 8cm 가량<br> 연출하시는 방법에 따라 크기의 변동폭이 크답니다.<br> 참고하셔서 주문주세요.<br> (보통 가로 사이즈는 바닥에 놓은 상태에서 측정하고 있답니다.)<br> <br> <br> <br> <br> <br> <br> <br> <img src=""http://img.mdeco.kr/1-8image/m-fower.jpg""><br> <br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-024.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-026.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-025.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-027.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-028.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-029.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-030.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-031.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-032.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-033.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-034.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-035.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-036.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-037.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-038.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-073.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-074.jpg""><br> <img src=""https://img.mdeco.kr/2022-07-08/20220721-085.jpg""><br> <br> <img src=""https://img.mdeco.kr/1-8image/all.jpg""><br>",1658385361151i0.jpg,165838536149s0.jpg,1658385361979m0.jpg,1658385361358l0.jpg,,0000-00-00,1,0,,single,,^^5300^6600^0^0^1480^0,색상(Color)^o|수량^o,색상(Color)^퍼플^0|색상(Color)^핑크^0|색상(Color)^그린^0|색상(Color)^레드그린^0|수량^낱개 주문 시^0|수량^24개 세트 (박스) 주문 시^95500,,,,,,,,1,,,22FMSC092715.UL/CC(24/288),N,0,,,,,0000-00-00,0000-00-00,0000-00-00,,0,,,,,img_i,img_s,img_m,img_l,0,0,0,0,,,,,Y,0,0,,N,Y
